資料序,季節,組別,date,Soil temperture,Soil  water content,ndvi,Relative humidity,Wind speed,Insolation,Temperature,Wind direction,Rainfall ,River flat area,PM10MAX,PM2.5,dustday
1868,濕季,,2015/7/12,s7,s6,s4,s4,s1,s3,s6,s2,s5,s5,s2_25_50,24,0
1869,濕季,,2015/7/13,s7,s4,s4,s5,s1,s7,s6,s2,s1,s5,s2_25_50,25,0
1870,濕季,,2015/7/14,s7,s3,s4,s4,s1,s7,s6,s2,s1,s5,s3_50_75,36,0
1871,濕季,,2015/7/15,s7,s1,s4,s5,s1,s7,s6,s4,s1,s5,s3_50_75,46,0
1872,濕季,,2015/7/16,s7,s1,s4,s4,s1,s7,s6,s2,s1,s5,s3_50_75,39,0
1873,濕季,,2015/7/17,s7,s1,s4,s5,s1,s7,s6,s4,s1,s5,s3_50_75,26,0
1874,濕季,,2015/7/18,s7,s1,s4,s4,s1,s7,s6,s1,s1,s5,s4_75_100,44,0
1875,濕季,,2015/7/19,s7,s6,s4,s6,s1,s2,s6,s4,s5,s5,s2_25_50,15,0
1876,濕季,,2015/7/20,s7,s5,s4,s1,s4,s2,s6,s3,s1,s5,s2_25_50,7,0
1877,濕季,,2015/7/21,s7,s2,s4,s1,s5,s7,s6,s2,s1,s5,s3_50_75,12,0
1878,濕季,,2015/7/22,s7,s3,s4,s1,s1,s1,s6,s3,s2,s5,s2_25_50,14,0
1879,濕季,,2015/7/23,s7,s1,s4,s1,s1,s2,s6,s2,s1,s5,s3_50_75,19,0
1880,濕季,,2015/7/24,s7,s1,s4,s1,s1,s7,s6,s3,s1,s5,s2_25_50,16,0
1881,濕季,,2015/7/25,s7,s1,s4,s1,s1,s7,s6,s3,s1,s5,s2_25_50,7,0
1882,濕季,,2015/7/26,s7,s1,s4,s1,s1,s7,s6,s3,s1,s5,s2_25_50,20,0
1883,濕季,,2015/7/27,s7,s1,s4,s1,s1,s7,s6,s2,s1,s5,s2_25_50,14,0
1884,濕季,,2015/7/28,s7,s1,s4,s1,s1,s2,s6,s2,s1,s5,s2_25_50,8,0
1885,濕季,,2015/7/29,s7,s1,s4,s1,s1,s3,s6,s2,s1,s5,s2_25_50,10,0
1886,濕季,,2015/7/30,s7,s1,s4,s1,s1,s7,s6,s2,s1,s5,s2_25_50,17,0
1887,濕季,,2015/7/31,s7,s1,s4,s1,s1,s7,s6,s2,s1,s5,s3_50_75,22,0
1888,濕季,,2015/8/1,s7,s1,s4,s1,s1,s7,s6,s4,s1,s5,s2_25_50,16,0
1889,濕季,,2015/8/2,s7,s1,s4,s1,s1,s7,s6,s2,s1,s5,s2_25_50,10,0
1890,濕季,,2015/8/3,s7,s1,s4,s1,s1,s7,s6,s2,s1,s5,s2_25_50,19,0
1891,濕季,,2015/8/4,s7,s1,s4,s1,s1,s7,s6,s1,s1,s5,s2_25_50,17,0
1892,濕季,,2015/8/5,s7,s1,s4,s1,s1,s7,s6,s1,s1,s5,s3_50_75,25,0
1893,濕季,,2015/8/6,s7,s1,s4,s1,s1,s7,s6,s1,s1,s5,s4_75_100,42,0
1894,濕季,,2015/8/7,s7,s1,s4,s4,s1,s2,s6,s1,s5,s5,s3_50_75,13,0
1895,濕季,,2015/8/8,s7,s7,s4,s6,s5,s1,s6,s2,s6,s5,s2_25_50,19,0
1896,濕季,,2015/8/9,s7,s7,s4,s6,s1,s1,s6,s2,s5,s5,s2_25_50,18,0
1897,濕季,,2015/8/10,s7,s5,s4,s1,s2,s7,s6,s2,s1,s5,s2_25_50,16,0
1898,濕季,,2015/8/11,s7,s4,s4,s1,s3,s7,s6,s2,s1,s5,s3_50_75,9,0
1899,濕季,,2015/8/12,s7,s3,s4,s1,s3,s7,s6,s2,s1,s5,s2_25_50,3,0
1900,濕季,,2015/8/13,s7,s1,s4,s1,s4,s7,s6,s2,s1,s5,s2_25_50,6,0
